t,frame,x,y,z,theta
14,26,1846,1002.6,972,0
47,27,1846,1002.6,1483.34,0
94,2,1127.2,1002.6,1484.68,0
111,4,1127,1002.6,1219.97,0
114,8,1127,1002.6,1168.67,13.1
114,26,1127,1002.6,1159.05,15.6
115,4,1127,1002.6,1155.65,18.3
115,13,1127,1002.6,1149.44,19.9
116,23,1127.25,1002.6,1135.21,21.4
118,26,1150.49,1002.6,1130.49,23.2
121,17,1178.53,1002.6,1123.47,25.8
123,18,1195.71,1002.6,1118.32,27.4
125,5,1217.29,1002.6,1110.28,29.6
127,13,1235.51,1002.6,1102.31,31.9
128,24,1252,1002.6,1094.55,33.6
130,14,1264.06,1002.6,1087.81,35.2
131,14,1277.26,1002.6,1080.26,36.7
135,7,1309.63,1002.6,1058.52,41.2
137,19,1331.46,1002.6,1040.72,44.1
139,22,1343.96,1002.6,1029.3,46.4
142,17,1364.65,1002.6,1008.51,50
143,16,1374.87,1002.6,996.87,51.2
144,16,1382.13,1002.6,988.57,53.4
146,22,1398.02,1002.6,967.04,56.2
149,10,1410.61,1002.6,947.7,59.1
150,8,1417.76,1002.6,936.15,61.1
151,13,1421.38,1002.6,929.65,62.2
152,6,1426.39,1002.6,919.84,63.4
152,29,1431.86,1002.6,909.11,64.1
155,8,1439.89,1002.6,890.81,67.6
157,1,1447.4,1002.6,872.28,70.6
158,23,1453.94,1002.6,851.64,72.9
160,29,1458.64,1002.6,835.27,75.8
162,8,1463.26,1002.6,814.93,77.5
163,27,1465.46,1002.6,803.5,80.4
165,8,1468.36,1002.6,783.05,82.6
167,8,1469.98,1002.6,766.61,84.7
168,17,1471.15,1002.6,746.07,87.7
170,21,1471.08,1002.6,728.43,89.3
172,16,1470.48,1002.6,707.1,89.3
173,28,1468.98,1002.6,693.28,89.3
176,14,1467,1002.6,675,89.4